method,ratio,subsampling_seed,rmse,mae
temporal_jitter_0p03_rho0p85,0.25,2026,0.314590724033,0.232238401126
temporal_jitter_0p03_rho0p85,0.5,42,0.263257407672,0.181022587023
temporal_jitter_0p03_rho0p85,0.5,123,0.335672133458,0.252148477542
temporal_jitter_0p03_rho0p85,0.5,2026,0.250571115898,0.177639270698
temporal_jitter_0p03_rho0p85,0.75,42,0.27017226108,0.192221111709
temporal_jitter_0p03_rho0p85,0.75,123,0.256013370115,0.176473960362
temporal_jitter_0p03_rho0p85,0.75,2026,0.263449339106,0.184949885531
temporal_jitter_0p05_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p05_rho0p85,0.25,42,0.285140431627,0.208138724027
temporal_jitter_0p05_rho0p85,0.25,123,0.266162106021,0.190031015953
temporal_jitter_0p05_rho0p85,0.25,2026,0.314132074039,0.231625166012
temporal_jitter_0p05_rho0p85,0.5,42,0.261675099034,0.179376187397
temporal_jitter_0p05_rho0p85,0.5,123,0.334493824335,0.251425485428
temporal_jitter_0p05_rho0p85,0.5,2026,0.25038221212,0.177739558991
temporal_jitter_0p05_rho0p85,0.75,42,0.270940801719,0.192985377203
temporal_jitter_0p05_rho0p85,0.75,123,0.255500822043,0.175994353485
temporal_jitter_0p05_rho0p85,0.75,2026,0.262400697325,0.18394475952
temporal_jitter_0p075_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p075_rho0p85,0.25,42,0.283154542125,0.206343100645
temporal_jitter_0p075_rho0p85,0.25,123,0.266732784465,0.190511536082
temporal_jitter_0p075_rho0p85,0.25,2026,0.313249905815,0.230619036647
temporal_jitter_0p075_rho0p85,0.5,42,0.259446552304,0.177183552776
temporal_jitter_0p075_rho0p85,0.5,123,0.332090525525,0.250003794358
temporal_jitter_0p075_rho0p85,0.5,2026,0.250157571402,0.178009597733
temporal_jitter_0p075_rho0p85,0.75,42,0.27111143122,0.193243030768
temporal_jitter_0p075_rho0p85,0.75,123,0.254467540851,0.175067615604
temporal_jitter_0p075_rho0p85,0.75,2026,0.260523338638,0.182187619547
temporal_jitter_0p10_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p10_rho0p85,0.25,42,0.281032542615,0.204235939837
temporal_jitter_0p10_rho0p85,0.25,123,0.267369520058,0.191039595711
temporal_jitter_0p10_rho0p85,0.25,2026,0.312220201922,0.229577130948
temporal_jitter_0p10_rho0p85,0.5,42,0.256901764335,0.175165848372
temporal_jitter_0p10_rho0p85,0.5,123,0.328753125071,0.247768005016
temporal_jitter_0p10_rho0p85,0.5,2026,0.250013649045,0.178469720305
temporal_jitter_0p10_rho0p85,0.75,42,0.270490977208,0.192747528244
temporal_jitter_0p10_rho0p85,0.75,123,0.253050180207,0.173869687364
temporal_jitter_0p10_rho0p85,0.75,2026,0.258147484661,0.180023676481
temporal_jitter_0p10_rho0p65,0,,1.47957624427,1.14692737976
temporal_jitter_0p10_rho0p65,0.25,42,0.276292240802,0.199569115421
temporal_jitter_0p10_rho0p65,0.25,123,0.265918738729,0.189874381315
temporal_jitter_0p10_rho0p65,0.25,2026,0.312203296371,0.229323244204
temporal_jitter_0p10_rho0p65,0.5,42,0.258506228531,0.17661270376
temporal_jitter_0p10_rho0p65,0.5,123,0.332566429869,0.249425608452
temporal_jitter_0p10_rho0p65,0.5,2026,0.250150707907,0.17734260108
temporal_jitter_0p10_rho0p65,0.75,42,0.270659004413,0.192695831454
temporal_jitter_0p10_rho0p65,0.75,123,0.253140138774,0.174251108589
temporal_jitter_0p10_rho0p65,0.75,2026,0.260600994828,0.18198173665
temporal_jitter_0p10_rho0p95,0,,1.47957624427,1.14692737976
temporal_jitter_0p10_rho0p95,0.25,42,0.285626857289,0.208922292176
temporal_jitter_0p10_rho0p95,0.25,123,0.268023768415,0.191619342965
temporal_jitter_0p10_rho0p95,0.25,2026,0.32173135902,0.238282810582
temporal_jitter_0p10_rho0p95,0.5,42,0.258766550172,0.176460613578
temporal_jitter_0p10_rho0p95,0.5,123,0.3279777308,0.247427087545
temporal_jitter_0p10_rho0p95,0.5,2026,0.251297227664,0.179707267529
temporal_jitter_0p10_rho0p95,0.75,42,0.26982954229,0.192763812912
temporal_jitter_0p10_rho0p95,0.75,123,0.254289218898,0.174484109414
temporal_jitter_0p10_rho0p95,0.75,2026,0.253035881933,0.175775187377
temporal_jitter_0p125_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p125_rho0p85,0.25,42,0.279214090108,0.202269991511
temporal_jitter_0p125_rho0p85,0.25,123,0.267934574518,0.191478433431
temporal_jitter_0p125_rho0p85,0.25,2026,0.310325258229,0.22777608607
