method,lag,real_acf,synthetic_acf,difference,absolute_difference,acf_mae,real_valid_windows,synthetic_valid_windows
bootstrap_jitter,1,-0.0584117408152,-0.0254058107595,0.0330059300557,0.0330059300557,0.0357666354436,380,380
bootstrap_jitter,2,-0.0254462001837,-0.0116837582749,0.0137624419088,0.0137624419088,0.0357666354436,380,380
bootstrap_jitter,3,-0.0631226419599,-0.0191084476173,0.0440141943426,0.0440141943426,0.0357666354436,380,380
bootstrap_jitter,4,-0.0225213284564,-0.0267607788989,-0.00423945044256,0.00423945044256,0.0357666354436,380,380
bootstrap_jitter,5,0.0458863671536,-0.0288731552423,-0.0747595223959,0.0747595223959,0.0357666354436,380,380
bootstrap_jitter,6,-0.0455815166123,-0.0233847936877,0.0221967229246,0.0221967229246,0.0357666354436,380,380
bootstrap_jitter,7,0.02962419387,0.00438150113202,-0.025242692738,0.025242692738,0.0357666354436,380,380
bootstrap_jitter,8,-0.0597091935211,-0.0418536862502,0.0178555072709,0.0178555072709,0.0357666354436,380,380
bootstrap_jitter,9,0.0216958768171,-0.00216347263039,-0.0238593494474,0.0238593494474,0.0357666354436,380,380
bootstrap_jitter,10,-0.0188475476934,0.00896788315546,0.0278154308489,0.0278154308489,0.0357666354436,380,380
bootstrap_jitter,11,0.0747119908471,-0.00204888389604,-0.0767608747431,0.0767608747431,0.0357666354436,380,380
bootstrap_jitter,12,-0.0716684295938,-0.0314158157531,0.0402526138407,0.0402526138407,0.0357666354436,380,380
bootstrap_jitter,13,0.00460678381959,-0.0247304199672,-0.0293372037868,0.0293372037868,0.0357666354436,380,380
bootstrap_jitter,14,0.0102174543782,-0.0210752535622,-0.0312927079405,0.0312927079405,0.0357666354436,380,380
bootstrap_jitter,15,-0.0770546950565,-0.0303669124482,0.0466877826082,0.0466877826082,0.0357666354436,380,380
bootstrap_jitter,16,0.0731619195816,-0.012815251442,-0.0859771710235,0.0859771710235,0.0357666354436,380,380
bootstrap_jitter,17,-0.051123366041,-0.00203373803368,0.0490896280074,0.0490896280074,0.0357666354436,380,380
bootstrap_jitter,18,0.0356084334958,0.011398576373,-0.0242098571228,0.0242098571228,0.0357666354436,380,380
bootstrap_jitter,19,0.0167132390336,-0.0182505189202,-0.0349637579539,0.0349637579539,0.0357666354436,380,380
bootstrap_jitter,20,0.00220427921567,0.0122141486863,0.0100098694706,0.0100098694706,0.0357666354436,380,380
cristian,1,-0.0584117408152,-0.0404608748201,0.0179508659951,0.0179508659951,0.0352790569206,380,380
cristian,2,-0.0254462001837,-0.0191874623898,0.00625873779397,0.00625873779397,0.0352790569206,380,380
cristian,3,-0.0631226419599,-0.0327662089708,0.0303564329892,0.0303564329892,0.0352790569206,380,380
cristian,4,-0.0225213284564,-0.0313865849254,-0.00886525646899,0.00886525646899,0.0352790569206,380,380
cristian,5,0.0458863671536,-0.0301790261683,-0.0760653933219,0.0760653933219,0.0352790569206,380,380
cristian,6,-0.0455815166123,-0.0148823002648,0.0306992163475,0.0306992163475,0.0352790569206,380,380
cristian,7,0.02962419387,0.00545708853939,-0.0241671053306,0.0241671053306,0.0352790569206,380,380
cristian,8,-0.0597091935211,-0.0289170685118,0.0307921250093,0.0307921250093,0.0352790569206,380,380
cristian,9,0.0216958768171,-0.00866335644925,-0.0303592332663,0.0303592332663,0.0352790569206,380,380
cristian,10,-0.0188475476934,0.0108990593708,0.0297466070642,0.0297466070642,0.0352790569206,380,380
cristian,11,0.0747119908471,0.00302344980346,-0.0716885410436,0.0716885410436,0.0352790569206,380,380
cristian,12,-0.0716684295938,-0.0098556850473,0.0618127445465,0.0618127445465,0.0352790569206,380,380
cristian,13,0.00460678381959,-0.0183485515451,-0.0229553353647,0.0229553353647,0.0352790569206,380,380
cristian,14,0.0102174543782,-0.0111155529539,-0.0213330073321,0.0213330073321,0.0352790569206,380,380
cristian,15,-0.0770546950565,-0.0252114852849,0.0518432097715,0.0518432097715,0.0352790569206,380,380
