epoch,train_loss,validation_loss,learning_rate,epoch_seconds
1,0.5815063146027651,0.5828133523464203,0.0002,2.6975429999984044
2,0.5021519726747042,0.5710757970809937,0.0002,2.6149538999998185
3,0.4957597093148665,0.5660018026828766,0.0002,2.7563688999998703
4,0.48869413872817896,0.5632733901341757,0.0002,2.549821200000224
5,0.48656641933825107,0.5617032547791799,0.0002,2.586433100001159
6,0.4880097523912207,0.5599181155363718,0.0002,2.6228639999990264
7,0.4823100234006906,0.5570559700330099,0.0002,2.642560099999173
8,0.47423720282393617,0.5617047448952993,0.0002,2.5391913000003115
9,0.48791650673011683,0.5616170763969421,0.0002,2.5427233000009437
10,0.4792195763680842,0.5577010909716288,0.0002,2.5979684999983874
11,0.47263323176990857,0.5583117604255676,0.0002,2.6067996000001585
12,0.4781131523770171,0.5567662715911865,0.0002,2.5852878999994573
13,0.4765699099410664,0.5593612094720205,0.0002,2.567162700001063
14,0.4791847204233145,0.557624081770579,0.0002,2.535505399999238
15,0.47131754283781174,0.5567868451277415,0.0002,2.5838268999996217
16,0.4679247191200009,0.5569349626700083,0.0002,2.564514700001382
17,0.47553539663166194,0.5599506199359894,0.0002,2.5784905000000435
18,0.4767146102793805,0.560186763604482,0.0002,2.533023800000592
19,0.4725413214076649,0.5635899305343628,0.0002,2.626452299999073
20,0.472260181005899,0.5619333783785502,0.0002,2.545615600000019
21,0.4707297272496409,0.5634589691956838,0.0002,2.5558302999997977
22,0.4752292424053341,0.5613167881965637,0.0002,2.710076100000151
23,0.47365043805791185,0.5637810031572977,0.0002,2.630356599998777
24,0.46579741076989606,0.5598030388355255,0.0002,2.5531135000001086
25,0.4672115739289816,0.5639571050802866,0.0002,2.603673499999786
26,0.4694549065905732,0.5650472144285837,0.0002,2.6134414999996807
27,0.472824453920513,0.5620029071966807,0.0002,2.6479659999986325
28,0.4643760234504551,0.5664315819740295,0.0002,2.4818278000002465
29,0.46726208809134245,0.5666375557581583,0.0002,2.574486200001047
30,0.46381205862218683,0.564185361067454,0.0002,2.6425429999999324
31,0.4618910419476497,0.5701659520467123,0.0002,2.589029999999184
32,0.46368441063088256,0.5754493872324625,0.0002,3.5423900999994657
