method,best_observed_ratio,best_mean_rmse,rmse_delta_vs_real,best_mean_mae,mae_delta_vs_real,invalid_rate
bootstrap_jitter,0.75,0.2627439921317597,-82.24204157965593,0.1840474663616451,-83.95308873738804,0.0
cristian,0.75,0.2536582187339775,-82.85611760440315,0.1822421894259887,-84.11048899593871,0.0
daniel,0.75,0.2446004141240714,-83.46830331543418,0.1796064555716965,-84.34029594795935,0.0
marco,0.75,0.3222741122820999,-78.21860648677016,0.2334417542238145,-79.64645105378817,0.0
