method,best_observed_ratio,best_mean_rmse,rmse_delta_vs_real,best_mean_mae,mae_delta_vs_real,invalid_rate
cristian,0.75,0.2536580540930366,-82.85603360585631,0.1822420809972441,-84.11040801589516,0.0
daniel,0.75,0.2446002371827428,-83.46822354506251,0.1796062590524909,-84.34022395640514,0.0
david,0.75,0.2401081481184217,-83.77183000547467,0.1657862037098322,-85.54518737314706,0.0
marco,0.75,0.3509366534705433,-76.28127277454577,0.2526007093052303,-77.97587591300454,0.0
