epoch,batch_nll,train_nll,validation_nll,grad_norm
1.0,262.5506051346118,240.59583180082177,276.55429410211,19.826544211678318
2.0,229.85809846572178,216.41358921,255.1969172847941,27.42147374565484
3.0,205.65883710453562,196.24306284238116,234.85456787348042,32.74813858877284
4.0,192.06586806025774,187.1358060167242,219.62017946001438,33.002041803769814
5.0,185.37665211381574,182.1189915163094,212.35074848655825,32.64041524167909
6.0,180.9596081705489,178.72655740693156,208.4004186156565,33.42825517970225
7.0,177.77565712239704,175.91809199150885,205.6250312078974,34.00151990925191
8.0,176.24488142742234,173.74252222931395,203.5838762042125,37.7010589137513
9.0,173.41178581264555,172.05677444049667,202.4437673597066,33.33147408511743
10.0,172.45199546211256,170.66731516967718,201.17562371108878,33.82973226599213
11.0,170.36846289735678,169.620321376923,201.07575354549633,32.803040900666375
12.0,169.9601771149994,168.64123999581827,199.34303338449612,36.79259939999018
13.0,168.51121978567718,167.89251365492575,199.0605459220069,34.26940885180594
14.0,168.34507870000192,166.946321671267,198.67790507095773,34.152425762950365
15.0,167.46754152299266,166.0876788696224,198.0402176004925,33.48259409475508
16.0,166.89643692334153,165.21340954190188,197.59132659145186,36.78481620995147
17.0,165.447655636717,163.8811899422913,197.0729683848544,36.1378313969233
18.0,163.7169659870839,162.8761960742981,196.42490727574773,33.212997341582636
19.0,163.46782692107595,161.91534346975416,195.91150021301306,34.72488208742583
20.0,161.66276145549963,160.7312368294894,195.39030476445052,33.83907091473607
21.0,160.92999335107817,159.67676571742552,194.90286477136925,33.66028819995749
22.0,159.00203876102609,158.59732854835812,194.60903108111862,34.54556515963121
23.0,158.94398221435506,157.468639050502,194.30513779908176,32.21566477479998
24.0,157.74004913555635,156.43347108070213,194.30260043077942,34.08390442320156
25.0,157.09497522660317,155.3618340506085,193.14340697670252,34.48593669882431
26.0,155.3453112216824,154.25446589739016,192.91404236081496,33.77805692880795
27.0,154.92112704799632,153.0242284247085,192.26135619466166,34.40825764852788
28.0,154.17701475215148,151.9790609396787,191.41383847824656,35.07908292863864
29.0,151.91119988163896,151.12039114773214,191.47774308976872,32.31206581816731
30.0,151.02988997999066,150.42159306580697,191.03645774189906,33.30641524044738
31.0,149.86359199561434,149.4548405018545,190.61445671742632,35.99472063260387
32.0,149.22932215757896,148.51436693865455,190.05908115922045,34.48280778495736
33.0,149.01400193904738,147.76957163289822,189.92605743295115,33.6282804046618
34.0,148.22390299085896,147.09591752152042,189.29998386883665,33.187327071342274
35.0,146.8943898279912,146.3563868467611,188.78946508139225,34.00285313887279
36.0,147.3930696789991,145.57848514020293,188.5099564193491,35.57775988659817
37.0,145.53404959490004,144.84108297798969,188.20504455933414,35.21200495445886
38.0,145.30902707478904,144.12239850252448,188.13555679905681,33.60019650393073
39.0,144.83831567853986,143.54809115257007,187.60382651897984,34.165860508196374
40.0,144.04786286976622,142.9131396401236,187.62523086579498,34.035854345503026
41.0,143.61275927958133,142.30673578248448,187.13174603373784,37.66617781488709
42.0,142.66183881029542,141.6365909643677,186.69441419039705,34.56517096061745
43.0,142.08580049000815,141.12109230212374,186.48121854120845,35.3023611153303
44.0,141.235429044427,140.4971265094394,186.24128065448775,36.21621773832162
45.0,140.62350216004694,139.9101804383692,185.81124635357574,35.18720449301536
46.0,140.34619924313384,139.2898031175571,185.6269393016337,34.788334291552474
47.0,140.10773187687326,138.98153342049082,185.5343413615454,35.40434656034393
48.0,139.32806586941575,138.2554187374826,185.0723872151151,35.802228139539366
49.0,139.15929716228223,137.6091220322691,184.6920883306075,36.254463381349034
50.0,138.00215156715262,136.99747373784209,184.44607769940944,35.32663293208266
51.0,137.63781052462122,136.5813115331596,184.04636880880932,34.75488064046944
52.0,137.04457006423252,136.03012743425154,183.5019465789845,33.59663108640798
53.0,136.06231195497088,135.74133363134055,183.70264940077178,34.228301753647216
54.0,136.35047327485606,135.14733811696786,183.62512326505447,35.743063419116666
55.0,135.74702695655327,134.56818123996595,182.9088138823583,38.06160472264449
56.0,135.05626606449897,134.06115349646154,182.76921849410172,35.657947146720204
57.0,134.88156210360756,133.4952748280903,182.48037760217693,34.59967223615985
58.0,133.9730689964897,132.98334344095483,182.20405702705605,33.25293901362938
59.0,134.07024510720117,132.56026546872752,182.2098054504822,33.94703725643959
