epoch,batch_nll,train_nll,validation_nll,grad_norm
1.0,264.65489778803015,243.99385690936333,248.89410866257867,19.164471423631184
2.0,234.4831065250934,223.87317819931016,229.75879388872207,26.10128112970604
3.0,212.55131553579798,200.4236010878963,206.37315234100512,30.66855026433086
4.0,195.34631623056842,189.09162012186718,195.4763964953347,32.69506667629951
5.0,186.54630731716276,182.96391907232928,189.32554077897598,33.92821523394755
6.0,181.62024431438874,179.3122716679241,185.8347361439348,32.22736943132988
7.0,179.17195570923562,176.3482024081652,182.8599104527375,33.16924884038657
8.0,175.58219277878237,174.28085525883438,181.1917990455734,33.11059201977988
9.0,174.3449944711687,172.55497526075797,179.47013730417163,34.454253592027065
10.0,172.67450527423705,170.9874856994289,178.12001246401445,32.957759379954446
11.0,170.9407376362273,169.91965897229852,176.87522253594673,32.520819611654964
12.0,169.88847463275889,169.13293997384295,176.3004016809725,32.99276666770292
13.0,169.80448294196174,168.0584752613913,175.06497748202906,33.98359979467724
14.0,169.2038935130112,167.48993652038263,174.84061964714,32.93731415504763
15.0,167.79840013138897,166.94234750909501,174.3575004754771,35.50760171637353
16.0,166.79988099071954,165.99049577013068,173.30828021198732,34.55399103689143
17.0,166.0919976668154,165.37379990306167,173.3231116710571,32.768450884496104
18.0,165.3448253776172,164.09689770396324,171.92948916743458,32.38430329966499
19.0,164.49001650811655,163.30019919685608,171.0347361624006,32.68103690999476
20.0,163.33889747022764,162.62013323496026,170.49632565675267,33.009705131939334
21.0,163.02993489456452,161.8332814020121,169.9138354405773,33.81778426780582
22.0,161.96633873590366,160.9597977774303,168.95293091162682,33.11406038708152
23.0,160.69122520695586,160.1363705554804,168.5111291291586,32.246652188220935
24.0,160.01206739023422,159.38569110148063,167.7388157923213,35.339912414307804
25.0,159.6480063422365,158.4068491688831,166.80996138224495,36.64829086347865
26.0,158.6111558474358,157.42125742725455,166.0098799746927,33.044685475694465
27.0,157.35550850286174,156.4714691542764,165.145104682499,31.676103530212515
28.0,157.02495037388542,155.72185326272964,164.4757706792929,34.21569722327823
29.0,155.9938394629369,155.0498561877954,163.8337055068628,32.35230494212808
30.0,154.8296977107157,154.05625304373083,163.08208754201414,32.79665418458373
31.0,154.8019788866501,153.32326429566925,162.19431809476694,32.6116875846037
32.0,153.70090944699797,152.50981118992203,161.4777008230622,35.74771339352069
33.0,152.92853251344056,151.7554771976392,160.93673684171975,34.53857915772376
34.0,152.16289109987997,150.84996537243512,159.9964044502354,32.65323971346533
35.0,151.7146873706806,150.1368693538845,159.35490417286908,34.23372850335154
36.0,150.2212660057213,149.25556942817255,158.70501016277117,32.45212404715202
37.0,149.5493337691246,148.4659431897809,158.16542550846086,32.11999697604356
38.0,148.88324170228884,147.8427430480079,157.6517637480545,33.57214534064037
39.0,148.18948217060534,146.92771101097927,156.6875836891702,34.90869787681636
40.0,146.93872782620173,146.12757988310955,156.12056503397912,33.629347073967644
41.0,146.51496994179664,145.40201674994051,155.4861709241583,32.708310092371036
42.0,145.55635514346307,144.63472536478548,154.83649253831288,34.93749253248329
43.0,144.97563907138857,143.86961861985785,154.2523000096952,34.19288243922853
44.0,144.197672498639,143.22741826386144,153.69871163502643,33.840948461984546
45.0,143.9226761422736,142.57824369905367,153.08018440082927,34.051175186056675
46.0,143.54862548808475,141.85636528891612,152.54315835202092,32.82432987700339
47.0,142.25486165595774,141.52329384886227,152.20205453939738,33.68504873123444
48.0,142.02769765636123,140.69201822930228,151.56821322578273,37.23200498938231
49.0,141.34291118569658,140.3132596329251,151.0175439044784,33.38785829053535
50.0,140.81493020386364,139.6461395753722,150.52202742009092,34.15985313120849
51.0,140.3784362357716,139.1946569806196,150.2524331500746,33.751363366678
52.0,139.33808788794227,138.50466644765683,149.69103235408434,33.49267725092497
53.0,138.7840547227853,138.0517186510981,149.23236240090594,33.66837076376991
54.0,137.91283157689236,137.5483571342479,148.7536260987196,34.01271230908755
55.0,137.93280924405653,137.02422470845343,148.4152821336267,33.237212307754824
56.0,137.36182863668267,136.39612474035178,147.95515263076425,34.170097299541645
57.0,136.9969517303696,135.96589107564355,147.59008604300485,33.524039473895996
58.0,136.71352504249137,135.39144797713524,147.0360556377374,33.98188496866367
59.0,136.20293907696686,135.14462432678596,146.84854179851027,34.67565900356818
60.0,135.70393263696755,134.44104543630255,146.4849654178797,35.04407205946706
61.0,135.12020359272725,133.9768227497413,145.94037779099324,33.73815616824549
62.0,134.66027915746758,133.59500947602936,145.8032996789199,35.79771688201251
63.0,134.4352834411015,133.15960111901714,145.450873981807,35.820030546061766
64.0,133.93396938085354,132.67962178503186,145.13509550524387,35.333586030877285
65.0,133.76972943542964,132.18170706563632,144.6661945272512,36.5998662049035
66.0,132.44018271093057,131.86639440968602,144.5670056947688,35.20570126223898
67.0,132.4256678488813,131.4491321665503,144.47574371551138,35.357496921013194
68.0,132.1341089838609,131.0103083597642,144.2272107101932,34.90400987626452
69.0,131.81361182675678,130.59937248272638,143.8944244747151,34.70909594904192
70.0,131.2704295716258,130.20459184400005,143.5781097997303,35.35834383586254
71.0,131.12283451151077,129.80212304751885,143.10333726579393,34.53047631115412
