epoch,train_loss,validation_loss,learning_rate,epoch_seconds
1,0.5774206492033872,0.5858770608901978,0.0002,3.5009100000006583
2,0.4987653869313079,0.5699026783307394,0.0002,3.570043400000941
3,0.4919127539380804,0.5697110195954641,0.0002,3.546330200000739
4,0.4885155546974826,0.5614682336648306,0.0002,3.5366347999988648
5,0.4878485260845779,0.5596107542514801,0.0002,3.503922699999748
6,0.4775102440412943,0.5590522388617197,0.0002,3.5572893000007753
7,0.4774815649181217,0.5580652256806692,0.0002,3.5741328000003705
8,0.4844456059592111,0.5604560375213623,0.0002,3.5271145000006072
9,0.48239261298984676,0.557778537273407,0.0002,3.524406700000327
10,0.47069009325721045,0.5596804022789001,0.0002,3.4792343999997684
11,0.47752215800347264,0.5578030943870544,0.0002,3.5499602999989293
12,0.4759619456607026,0.5560479164123535,0.0002,3.579101499999524
13,0.4805802497770879,0.5556680957476298,0.0002,3.522762500000681
14,0.4759412972958057,0.5583759347597758,0.0002,3.5576983999999356
15,0.47436037156488986,0.5571981171766917,0.0002,3.558634400000301
16,0.47127504782243207,0.5559648970762888,0.0002,3.5175551000011183
17,0.47551805903385214,0.5571903189023336,0.0002,3.5274855000006937
18,0.470548459074714,0.5586669147014618,0.0002,3.590340999999171
19,0.4708500558679754,0.5568213860193888,0.0002,3.457631700001002
20,0.47477456269326146,0.5586210985978445,0.0002,3.444081300000107
21,0.4697385767063537,0.5606941978136698,0.0002,3.4863139999997657
22,0.47065883526554353,0.5609158178170522,0.0002,3.4929442000011477
23,0.4713028735154635,0.5609601438045502,0.0002,3.4748802999984036
24,0.46605462068087095,0.5602808097998301,0.0002,2.8232885999987047
25,0.4692129779171634,0.5616979002952576,0.0002,2.5235019000010652
26,0.466060674035704,0.5614750583966573,0.0002,2.59905660000004
27,0.4678372996194022,0.5653184155623118,0.0002,2.578890799999499
28,0.46518717183695213,0.562137375275294,0.0002,2.69326540000111
29,0.4670613845447441,0.5645422836144766,0.0002,2.6931059999988065
30,0.4636772000170373,0.565104067325592,0.0002,2.5360732000008284
31,0.4638263045193313,0.5656712055206299,0.0002,2.6048642999994627
32,0.46365334887009163,0.5690493583679199,0.0002,2.5746562000003905
33,0.46808788489985775,0.566735694805781,0.0002,2.6156008999987534
