epoch,c_loss,g_loss,c_real_score,c_fake_score
0,-7.798132243595625,10.985690361575076,-1.3892770630865063,-10.79698660877092
1,-5.464481501830251,8.49538338811774,-2.269368676096201,-8.418978524208068
2,-4.45597619759409,9.678651307758532,-4.787388839847163,-9.733198138287193
3,-5.045117434702422,8.513536541085495,-2.5805657489127234,-8.295447733527736
4,-4.965332791679784,7.877042023759139,-2.176103835239222,-7.811743814694254
5,-4.8177543872281126,7.726553860463594,-2.221242540957112,-7.680800096612227
6,-4.693987060220618,7.504121799218027,-2.1018591244950104,-7.4225938558578495
7,-4.570880305139642,6.389072688002336,-1.2141086696990226,-6.388427391805147
8,-4.412018498621489,6.051359775819276,-1.016318143159151,-5.997738594757883
9,-4.272949635982513,4.9277934608490845,-0.027868201730674818,-4.841325612130918
10,-4.169009360514189,4.137593917940793,0.5266689700711714,-4.1562575671625765
11,-4.083308756978888,4.350106875363149,0.23897198271006345,-4.334935933949524
12,-4.038123512268067,4.460601637630086,0.07217367214984015,-4.4419653223533375
13,-4.078411932368027,5.911106475089726,-1.2241128480748127,-5.774119055271148
14,-4.0381254422037225,7.9852641726795,-3.314726121527584,-7.8160811905406025
15,-4.0185810725939906,9.355639736903342,-4.6972115114331245,-9.167138232055462
16,-4.025914723622171,10.14422553463986,-5.438996622123216,-9.918083058532916
17,-4.001118744047065,9.821221317115583,-5.27602072024816,-9.716156334626048
18,-4.02223033967771,9.323349849173898,-4.816022996369161,-9.281486213834663
19,-3.982843836357719,9.17276616472947,-4.607968293051971,-9.030684868912948
20,-3.963350756544816,9.398530596180967,-4.834057902740804,-9.229294951338517
21,-3.9381825114551345,9.645053054157056,-5.105034879516614,-9.479984851259934
22,-3.9327001656356613,9.75583162119514,-5.312474437450108,-9.672014875788438
23,-3.917988137194985,9.80936196603273,-5.316160515342888,-9.662140630420886
24,-3.8983733189733405,9.836122776332655,-5.414671161613966,-9.743447320084822
25,-3.8811544085803784,9.86636095297964,-5.353599847931611,-9.659148625323647
26,-3.8846628251828643,9.893987564664139,-5.5463459804654125,-9.85763073281238
27,-3.871075847901796,9.86070033751036,-5.424011903922809,-9.722513354452033
28,-3.8615804760079633,9.649363172681708,-5.198007597735054,-9.489208730270988
29,-3.8499148375109624,9.43596883823997,-5.062632427207734,-9.33817139613001
30,-3.831235034214823,9.371499249809666,-5.014756086272628,-9.262286706974631
31,-3.8320504025409097,9.464504379975168,-5.101164732677372,-9.35705370024631
32,-3.8195695632382445,9.182863718584963,-4.87093332151049,-9.110188096447995
33,-3.793514278687929,9.10771030815024,-4.6929522908047625,-8.904383697635248
34,-3.7451492874245895,9.108440151340083,-4.847168815057529,-9.00149039030075
35,-3.748266681871916,8.977523361381731,-4.807934258015532,-8.970361034493697
36,-3.7700318386680203,8.933253714912816,-4.692854128150564,-8.87939680124584
37,-3.7375733306533414,9.299403582748614,-5.032285846612956,-9.175278364357196
38,-3.7317161666719536,9.016640826275474,-4.72521832620627,-8.865907713614012
39,-3.721329349593112,8.847968045033907,-4.544902760025702,-8.67977857777947
40,-3.705085536053306,8.808960914611816,-4.487609644234181,-8.601686089289815
