method_id,method_name,c2st_roc_auc,mean_correlation_error,nearest_neighbor_mean,wasserstein_log_return,wasserstein_log_high_low_range,wasserstein_log1p_volume,return_acf_mae_vs_real,abs_return_acf_mae_vs_real,rmse_improvement_25,rmse_improvement_50,rmse_improvement_75,best_rmse_improvement_pct,mean_rmse_improvement_across_ratios
bootstrap_jitter,Bootstrap + Jitter,0.896966759003,0.0463385832024,0.698201824857,0.330239588169,0.641530200776,0.151069698511,0.0357666354436,0.0326474304467,80.7062624192,80.8022330864,82.2420415797,82.2420415797,81.2501790284
cristian,WGAN-GP,0.926662049861,0.0541683653108,10.4607527898,0.372108670099,0.620742791682,0.118220801124,0.0352790569206,0.0309993454079,80.8504375433,81.4196985969,82.8561176044,82.8561176044,81.7087512482
daniel,DDPM,0.907015235457,0.0800534907037,10.7014580641,0.308172434409,0.589615195109,0.492660930473,0.0391549718458,0.0280370569885,79.0625486337,79.0954229194,83.4683033154,83.4683033154,80.5420916229
marco,TimeVAE,0.99932132964,0.0463481756649,6.70480386409,0.89941599149,0.673160945321,0.277878100563,0.0953539774115,0.0424368795351,74.2156383748,75.9405320688,78.2186064868,78.2186064868,76.1249256435
david,Normalizing Flow,0.914252077562,0.0522217202161,10.410990542,0.378655279717,0.662975126846,0.146934633831,0.0359968984946,0.0313127474671,80.8091175696,81.6146162127,82.9074232963,82.9074232963,81.7770523595
