method_id,method_name,c2st_roc_auc,mean_correlation_error,nearest_neighbor_mean,nearest_neighbor_median,wasserstein_log_return,wasserstein_log_high_low_range,wasserstein_log1p_volume,return_acf_mae_vs_real,abs_return_acf_mae_vs_real
bootstrap_jitter,Bootstrap + Jitter,0.896966759003,0.0463385832024,0.698201824857,0.695692522149,0.330239588169,0.641530200776,0.151069698511,0.0357666354436,0.0326474304467
cristian,WGAN-GP,0.926662049861,0.0541683653108,10.4607527898,9.50729291589,0.372108670099,0.620742791682,0.118220801124,0.0352790569206,0.0309993454079
daniel,DDPM,0.907015235457,0.0800534907037,10.7014580641,10.7123447866,0.308172434409,0.589615195109,0.492660930473,0.0391549718458,0.0280370569885
marco,TimeVAE,0.99932132964,0.0463481756649,6.70480386409,6.29759375145,0.89941599149,0.673160945321,0.277878100563,0.0953539774115,0.0424368795351
david,Normalizing Flow,0.914252077562,0.0522217202161,10.410990542,9.44168121977,0.378655279717,0.662975126846,0.146934633831,0.0359968984946,0.0313127474671
