method_id,method_name,synthetic_ratio,rmse_mean,rmse_std,mae_mean,mae_std,real_only_rmse,real_only_mae,rmse_improvement_abs,rmse_improvement_pct,mae_improvement_abs,mae_improvement_pct
bootstrap_jitter,Bootstrap + Jitter,0.25,0.285467141838,0.0200896444375,0.207137166747,0.0174559779977,1.47958445398,1.1469339074,1.19411731214,80.7062624192,0.939796740656,81.9399212623
bootstrap_jitter,Bootstrap + Jitter,0.5,0.284047174765,0.0373372736962,0.204257290696,0.0341974633687,1.47958445398,1.1469339074,1.19553727922,80.8022330864,0.942676616706,82.1910147239
bootstrap_jitter,Bootstrap + Jitter,0.75,0.262743992132,0.00497481978897,0.184047466362,0.00562954401414,1.47958445398,1.1469339074,1.21684046185,82.2420415797,0.962886441041,83.9530887374
cristian,WGAN-GP,0.25,0.283333949114,0.0188141668884,0.201646709873,0.0160452932244,1.47958445398,1.1469339074,1.19625050487,80.8504375433,0.945287197529,82.4186286087
cristian,WGAN-GP,0.5,0.274911251063,0.029378216111,0.199811185026,0.0243567743628,1.47958445398,1.1469339074,1.20467320292,81.4196985969,0.947122722376,82.5786661519
cristian,WGAN-GP,0.75,0.253658218734,0.0157635314559,0.182242189426,0.0103773944528,1.47958445398,1.1469339074,1.22592623525,82.8561176044,0.964691717976,84.1104889959
daniel,DDPM,0.25,0.309787275475,0.0347463754041,0.22939337265,0.0320083122563,1.47958445398,1.1469339074,1.16979717851,79.0625486337,0.917540534753,79.9994253227
daniel,DDPM,0.5,0.309300872655,0.06383377409,0.242643023691,0.0686183522409,1.47958445398,1.1469339074,1.17028358133,79.0954229194,0.904290883711,78.8442017343
daniel,DDPM,0.75,0.244600414124,0.00731911562411,0.179606455572,0.0111745614832,1.47958445398,1.1469339074,1.23498403986,83.4683033154,0.967327451831,84.340295948
marco,TimeVAE,0.25,0.381501406164,0.00064757996949,0.276069106138,0.00181011377801,1.47958445398,1.1469339074,1.09808304782,74.2156383748,0.870864801265,75.9298156279
marco,TimeVAE,0.5,0.355980147221,0.00324573137016,0.255318432693,0.00224695998988,1.47958445398,1.1469339074,1.12360430676,75.9405320688,0.891615474709,77.7390457249
marco,TimeVAE,0.75,0.322274112282,0.00315716830814,0.233441754224,0.00216442031173,1.47958445398,1.1469339074,1.1573103417,78.2186064868,0.913492153178,79.6464510538
david,Normalizing Flow,0.25,0.283945313023,0.0135646059549,0.209142385986,0.0186926198387,1.47958445398,1.1469339074,1.19563914096,80.8091175696,0.937791521416,81.7650882377
david,Normalizing Flow,0.5,0.272027280322,0.0116087227794,0.193897171384,0.0116948391803,1.47958445398,1.1469339074,1.20755717366,81.6146162127,0.953036736018,83.0943029818
david,Normalizing Flow,0.75,0.252899107693,0.00574312777978,0.174023214687,0.00547133705204,1.47958445398,1.1469339074,1.22668534629,82.9074232963,0.972910692715,84.8270930379
