method_id,method_name,synthetic_ratio,real_only_rmse_check,synthetic_rmse,rmse_ratio_vs_real_only,rmse_improvement_pct,cross_check_improvement_pct,matches_master_table
bootstrap_jitter,Bootstrap + Jitter,0.25,1.47958445398,0.285467141838,0.192937375808,80.7062624192,80.7062624192,True
bootstrap_jitter,Bootstrap + Jitter,0.5,1.47958445398,0.284047174765,0.191977669136,80.8022330864,80.8022330864,True
bootstrap_jitter,Bootstrap + Jitter,0.75,1.47958445398,0.262743992132,0.177579584203,82.2420415797,82.2420415797,True
cristian,WGAN-GP,0.25,1.47958445398,0.283333949114,0.191495624567,80.8504375433,80.8504375433,True
cristian,WGAN-GP,0.5,1.47958445398,0.274911251063,0.185803014031,81.4196985969,81.4196985969,True
cristian,WGAN-GP,0.75,1.47958445398,0.253658218734,0.171438823956,82.8561176044,82.8561176044,True
daniel,DDPM,0.25,1.47958445398,0.309787275475,0.209374513663,79.0625486337,79.0625486337,True
daniel,DDPM,0.5,1.47958445398,0.309300872655,0.209045770806,79.0954229194,79.0954229194,True
daniel,DDPM,0.75,1.47958445398,0.244600414124,0.165316966846,83.4683033154,83.4683033154,True
marco,TimeVAE,0.25,1.47958445398,0.381501406164,0.257843616252,74.2156383748,74.2156383748,True
marco,TimeVAE,0.5,1.47958445398,0.355980147221,0.240594679312,75.9405320688,75.9405320688,True
marco,TimeVAE,0.75,1.47958445398,0.322274112282,0.217813935132,78.2186064868,78.2186064868,True
david,Normalizing Flow,0.25,1.47958445398,0.283945313023,0.191908824304,80.8091175696,80.8091175696,True
david,Normalizing Flow,0.5,1.47958445398,0.272027280322,0.183853837873,81.6146162127,81.6146162127,True
david,Normalizing Flow,0.75,1.47958445398,0.252899107693,0.170925767037,82.9074232963,82.9074232963,True
